Artist,Song,Popularity
Joji,MODUS,56.0
The Subways,Rock & Roll Queen,56.0
Pulp,Babies,56.0
LCD Soundsystem,Daft Punk Is Playing at My House,56.0
Lana Del Rey,Blue Banisters,55.0
Lord Huron,Love Me Like You Used To,55.0
Florence + The Machine,Kiss With A Fist,55.0
Kid Cudi,Day 'N' Nite - Crookers Remix,55.0
The Strokes,Juicebox,55.0
The Easybeats,Friday On My Mind,55.0
Nick Drake,One Of These Things First,55.0
Bauhaus,Bela Lugosi's Dead (Official Version),55.0
Kurt Vile,Pretty Pimpin,55.0
Echo & the Bunnymen,The Killing Moon,55.0
Toro y Moi,Ordinary Pleasure,55.0
Goth Babe,I Wanna Help Your Mind,55.0
Blur,Tender,55.0
Kings of Leon,On Call,55.0
Viagra Boys,Sports,55.0
sammy rash,summer&cigarettes,55.0
Bakar,1st Time,55.0
Vampire Weekend,Oxford Comma,55.0
Pixies,Wave of Mutilation,55.0
Fontaines D.C.,I Don't Belong,55.0
Biig Piig,Oh No,55.0
The National,Light Years,55.0
Them,Gloria - Stereo Version,55.0
Spoon,The Underdog,55.0
Blossoms,Your Girlfriend,55.0
Bryan Ferry,Let's Stick Together,55.0
KiNG MALA,she calls me daddy,55.0
Kings of Leon,Radioactive,55.0
The Charlatans,The Only One I Know,55.0
Fleet Foxes,Tiger Mountain Peasant Song,55.0
The Shins,Phantom Limb,55.0
Radiohead,Burn the Witch,55.0
MARINA,Man's World,55.0
Sharon Van Etten,Seventeen,55.0
The Kooks,She Moves In Her Own Way,55.0
FKA twigs,cellophane,55.0
The Vines,Get Free,55.0
Kasabian,L.S.F.,54.0
Julia Jacklin,"to Perth, before the border closes",54.0
Arcade Fire,No Cars Go,54.0
Siouxsie and the Banshees,Hong Kong Garden,54.0
beabadoobee,Last Day On Earth,54.0
Phoebe Bridgers,Friday I’m In Love - Recorded at Spotify Studios NYC,54.0
Wanda Jackson,Funnel Of Love,54.0
Car Seat Headrest,Fill in the Blank,54.0
David Bowie,The Jean Genie - 2013 Remaster,54.0
XTC,Making Plans For Nigel,54.0
chloe moriondo,I Want To Be With You,54.0
The Stone Roses,Love Spreads,54.0
Jamie T,Sticks 'N' Stones,54.0
Fred again..,Julia (Deep Diving),54.0
girl in red,Body And Mind,54.0
The Hives,Hate To Say I Told You So,54.0
Дурной Вкус,Пластинки,54.0
Cautious Clay,Cold War,54.0
Fruit Bats,Humbug Mountain Song,54.0
Yves Tumor,Kerosene!,54.0
Bombay Bicycle Club,Shuffle,54.0
Roosevelt,Strangers,54.0
Young the Giant,My Body,54.0
Joe Jackson,Is She Really Going Out With Him?,54.0
RJD2,Ghostwriter,54.0
Editors,Munich,54.0
Chet Faker,Low,54.0
The Velvet Underground,Sweet Jane,54.0
LCD Soundsystem,Someone Great,54.0
Tim Atlas,Wallflower,54.0
Sam Gellaitry,Assumptions,54.0
The Cramps,Human Fly,54.0
Ash,Girl From Mars,54.0
Bright Eyes,Lua,54.0
The Stooges,I Wanna Be Your Dog,54.0
Cocteau Twins,Lorelei,54.0
Yuno,No Going Back,54.0
The Bravery,Believe,54.0
Arlo Parks,Caroline,54.0
Matt Maltese,Mystery,53.0
Bloc Party,Helicopter,53.0
U2,I Will Follow,53.0
Goth Babe,Moments / Tides,53.0
Jelani Aryeh,Stella Brown,53.0
The Flaming Lips,"Yoshimi Battles the Pink Robots, Pt. 1",53.0
HAIM,The Wire,53.0
CHVRCHES,The Mother We Share,53.0
Killing Joke,Eighties,53.0
The Walkmen,The Rat,53.0
Nada Surf,Popular,53.0
HAIM,Now I'm In It - Bonus Track,53.0
Bombay Bicycle Club,"Eat, Sleep, Wake (Nothing But You)",53.0
The Velvet Underground,Rock & Roll,53.0
BENEE,Find an Island,53.0
Jamie T,Zombie,53.0
The Avalanches,The Divine Chord,53.0
The Velvet Underground,Rock and Roll - Full Length Version; 2015 Remaster,53.0
New West,Next to You,53.0
The Black Keys,Everlasting Light,53.0
Pixies,Gigantic,53.0
Terrace Martin,Freeze Tag (feat. Phoelix),53.0
The Neighbourhood,Lost in Translation,53.0
Gorillaz,The Valley of The Pagans (feat. Beck),53.0
The Sonics,Have Love Will Travel,53.0
Pavement,Cut Your Hair,53.0
Fontaines D.C.,Big,53.0
The Killers,Caution,53.0
HAIM,Gasoline,53.0
The Raconteurs,Salute Your Solution,53.0
Molchat Doma,На Дне,53.0
Eels,Novocaine For The Soul,53.0
Of Monsters and Men,Alligator,52.0
Modest Mouse,Lampshades on Fire,52.0
The 1975,Tonight (I Wish I Was Your Boy),52.0
Tomberlin,Wasted,52.0
Fleet Foxes,Can I Believe You,52.0
The Ting Tings,Shut Up and Let Me Go,52.0
Charli XCX,pink diamond,52.0
Gossip,Standing In the Way of Control,52.0
beabadoobee,How Was Your Day?,52.0
Republica,Ready to Go,52.0
Chromeo,Fancy Footwork,52.0
Beck,Dreams,52.0
Fred again..,Angie (I’ve Been Lost),52.0
Manic Street Preachers,Motorcycle Emptiness,52.0
Cautious Clay,Wildfire,52.0
Arlo Parks,Too Good,52.0
Elderbrook,Talking,52.0
Jungle,Busy Earnin',52.0
Soccer Mommy,Your Dog,52.0
Ed Maverick,"niño,",52.0
Metric,Combat Baby,52.0
The Shins,So Says I,52.0
The Beatles,Tomorrow Never Knows - Remastered,52.0
The Chemical Brothers,Let Forever Be,52.0
The Prodigy,Breathe,52.0
White Lies,Farewell To The Fairground,52.0
Scissor Sisters,Take Your Mama,52.0
Fiona Apple,Under The Table,52.0
Electric Six,Danger! High Voltage - Soulchild Radio Mix,52.0
Damien Rice,9 Crimes,52.0
Aldous Harding,The Barrel,52.0
Spoon,I Turn My Camera On,52.0
The Trashmen,Surfin' Bird,52.0
Grimes,Violence,52.0
Arcade Fire,Afterlife,52.0
The Hives,Walk Idiot Walk,52.0
The Velvet Underground,Heroin,52.0
St. Vincent,Los Ageless,52.0
Led Zeppelin,Communication Breakdown - Remaster,52.0
Omar Apollo,Ugotme,52.0
The Vaccines,Post Break-Up Sex,52.0
Blur,The Universal,52.0
RY X,Berlin,52.0
James Blake,Godspeed,52.0
Still Woozy,Rocky,52.0
girl in red,Rue,52.0
Garbage,Stupid Girl,52.0
Foals,The Runner,52.0
Hot Chip,Ready For The Floor,52.0
Matt Maltese,madhouse,52.0
Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,51.0
Julia Jacklin,Pressure To Party,51.0
Solomun,Tuk Tuk (feat. ÄTNA),51.0
Destroy Boys,Fences,51.0
Remi Wolf,Hello Hello Hello,51.0
Leon Bridges,Motorbike,51.0
Elvis Costello,Alison,51.0
alt-J,Every Other Freckle,51.0
The Bravery,An Honest Mistake,51.0
Black Rebel Motorcycle Club,Beat the Devil's Tattoo,51.0
beabadoobee,Worth It,51.0
The Bobby Fuller Four,I Fought the Law - Single Version,51.0
Lianne La Havas,Paper Thin,51.0
Soccer Mommy,circle the drain,51.0
Purity Ring,Fineshrine,51.0
Yeah Yeah Yeahs,Gold Lion,51.0
Broken Bells,Holding on for Life,51.0
Interpol,All The Rage Back Home,51.0
Lomelda,Hannah Sun,51.0
Bob Dylan,Maggie's Farm,51.0
Cannons,Bad Dream,51.0
Arca,KLK,51.0
The Wannadies,You & Me Song,51.0
Harriette,at least i'm pretty,51.0
Balthazar,Losers,51.0
Waxahatchee,Lilacs,51.0
Brigitte Bardot,Bonnie And Clyde,51.0
Bibio,Petals,51.0
The Flaming Lips,She Don't Use Jelly,51.0
Ethel Cain,Michelle Pfeiffer (feat. lil aaron),51.0
Charlie Burg,Lancaster Nights,51.0
Lord Huron,Long Lost,51.0
Polo & Pan,Ani Kuni - Edit,51.0
The Strokes,The End Has No End,51.0
Golden Vessel,Hesitate,51.0
Bleachers,Chinatown (feat. Bruce Springsteen),51.0
Arcade Fire,Reflektor,51.0
Khruangbin,Summer Madness,51.0
Baby Queen,Dover Beach,51.0
Christine and the Queens,Tilted,51.0
Lush,For Love,51.0
DJ Mehdi,Signatune - Thomas Bangalter Edit,51.0
Julian Casablancas,11th Dimension,51.0
Franz Ferdinand,Walk Away,51.0
Dodgy,Good Enough,50.0
strongboi,honey thighs,50.0
Perturbator,Future Club,50.0
Catching Flies,GLY,50.0
Yves Tumor,Romanticist,50.0
Waxahatchee,Fire,50.0
Angel Olsen,Shut Up Kiss Me,50.0
my bloody valentine,only shallow,50.0
Shed Seven,Chasing Rainbows,50.0
The Chemical Brothers,Block Rockin' Beats,50.0
Death Cab for Cutie,I Will Possess Your Heart,50.0
IC3PEAK,Плак-Плак,50.0
Skegss,Up In The Clouds,50.0
Editors,Papillon,50.0
Beck,Devils Haircut,50.0
Hard-FI,Hard to Beat,50.0
Christine and the Queens,"People, I've been sad",50.0
The White Stripes,My Doorbell,50.0
Crumb,Part III,50.0
beabadoobee,Together,50.0
? & The Mysterians,96 Tears,50.0
M|O|O|N,Dust,50.0
Built To Spill,Carry the Zero,50.0
IDLES,Danny Nedelko,50.0
Townes Van Zandt,Waitin' Around To Die,50.0
easy life,skeletons,50.0
Fontaines D.C.,Too Real,50.0
This Mortal Coil,Song To The Siren (Remastered),50.0
Cast,Walkaway,50.0
Bat For Lashes,Daniel,50.0
Orange Juice,Rip It Up,50.0
Kate Bollinger,A Couple Things,50.0
Maximo Park,Books From Boxes,50.0
The Voidz,Leave It In My Dreams,50.0
XTC,Dear God - Remastered 2001,50.0
New Order,Blue Monday - 2016 Remaster,50.0
Noel Gallagher's High Flying Birds,AKA... What A Life!,50.0
MARINA,Purge The Poison,50.0
Noah And The Whale,L.I.F.E.G.O.E.S.O.N.,50.0
Black Rebel Motorcycle Club,Spread Your Love,50.0
Alfie Templeman,Things I Thought Were Mine,49.0
Unknown Mortal Orchestra,Swim and Sleep (Like a Shark),49.0
Lord Huron,Mine Forever,49.0
Novo Amor,Birdcage,49.0
Kasabian,Shoot the Runner,49.0
The Libertines,Time For Heroes,49.0
Slowdive,Star Roving,49.0
Claud,Gold,49.0
Electric Six,Gay Bar,49.0
Placebo,Nancy Boy,49.0
Kings of Convenience,Rocky Trail,49.0
Alice Phoebe Lou,Lovesick,49.0
Tkay Maidza,Where Is My Mind?,49.0
Yo La Tengo,Autumn Sweater,49.0
Sam Fender,"Waiting For Love - Recorded At RAK Studios, London",49.0
Joy Division,Love Will Tear Us Apart - 2010 Remaster,49.0
The View,Same Jeans,49.0
Sylvan Esso,Radio,49.0
Alvvays,In Undertow,49.0
Slow Pulp,Idaho,49.0
Sex Pistols,Anarchy In The UK,49.0
King Gizzard & The Lizard Wizard,Work This Time,49.0
Glass Animals,It’s All So Incredibly Loud,49.0
KennyHoopla,how will i rest in peace if i'm buried by a highway?//,49.0
my bloody valentine,Sometimes,49.0
Christine and the Queens,Paradis Perdus,49.0
BRONCHO,Class Historian,49.0
Rhye,Black Rain,49.0
chloe moriondo,Bugbear,49.0
Modern Baseball,Intersection,49.0
The Avalanches,Frontier Psychiatrist,49.0
Squeeze,Pulling Mussels (From The Shell),49.0
Holly Humberstone,The Walls Are Way Too Thin,49.0
Molchat Doma,Ответа Нет / Otveta Net,49.0
Chet Faker,Get High,49.0
Squeeze,Cool For Cats,49.0
PJ Harvey,This Is Love,49.0
Petit Biscuit,Problems,49.0
Daft Punk,Technologic,49.0
Inhaler,Cheer Up Baby,49.0
Polo & Pan,Feel Good,49.0
Kate Bush,Wuthering Heights,49.0
Kings of Leon,The Bucket,49.0
Maximo Park,Apply Some Pressure,49.0
Benny Sings,Rolled Up,49.0
Courtney Barnett,Avant Gardener,49.0
